Ensembl Gene ID	Associated Gene Name
ENSG00000000003	TSPAN6
ENSG00000000938	FGR
ENSG00000001036	FUCA2
ENSG00000001461	NIPAL3
ENSG00000001561	ENPP4
ENSG00000001617	SEMA3F
ENSG00000002726	AOC1
ENSG00000002746	HECW1
ENSG00000002919	SNX11
ENSG00000003137	CYP26B1
ENSG00000003147	ICA1
ENSG00000003393	ALS2
ENSG00000003756	RBM5
ENSG00000003987	MTMR7
ENSG00000003989	SLC7A2
ENSG00000004059	ARF5
ENSG00000004399	PLXND1
ENSG00000004478	FKBP4
ENSG00000004534	RBM6
ENSG00000004660	CAMKK1
ENSG00000004776	HSPB6
ENSG00000004799	PDK4
ENSG00000004846	ABCB5
ENSG00000004864	SLC25A13
ENSG00000004866	ST7
ENSG00000004939	SLC4A1
ENSG00000004948	CALCR
ENSG00000004975	DVL2
ENSG00000005001	PRSS22
ENSG00000005020	SKAP2
ENSG00000005022	SLC25A5
ENSG00000005059	CCDC109B
ENSG00000005073	HOXA11
ENSG00000005102	MEOX1
ENSG00000005108	THSD7A
ENSG00000005187	ACSM3
ENSG00000005206	SPPL2B
ENSG00000005243	COPZ2
ENSG00000005249	PRKAR2B
ENSG00000005339	CREBBP
ENSG00000005379	TSPOAP1
ENSG00000005471	ABCB4
ENSG00000005483	KMT2E
ENSG00000005513	SOX8
ENSG00000005844	ITGAL
ENSG00000005882	PDK2
ENSG00000005884	ITGA3
ENSG00000005893	LAMP2
ENSG00000005961	ITGA2B
ENSG00000006025	OSBPL7
ENSG00000006047	YBX2
ENSG00000006059	KRT33A
ENSG00000006071	ABCC8
ENSG00000006116	CACNG3
ENSG00000006118	TMEM132A
ENSG00000006125	AP2B1
ENSG00000006283	CACNA1G
ENSG00000006377	DLX6
ENSG00000006432	MAP3K9
ENSG00000006451	RALA
ENSG00000006453	BAIAP2L1
ENSG00000006459	KDM7A
ENSG00000006468	ETV1
ENSG00000006534	ALDH3B1
ENSG00000006576	PHTF2
ENSG00000006607	FARP2
ENSG00000006740	ARHGAP44
ENSG00000006747	SCIN
ENSG00000006756	ARSD
ENSG00000006788	MYH13
ENSG00000006831	ADIPOR2
ENSG00000006837	CDKL3
ENSG00000007001	UPP2
ENSG00000007038	PRSS21
ENSG00000007047	MARK4
ENSG00000007062	PROM1
ENSG00000007171	NOS2
